German translation for survey
Language,de
CSV Version Format,1
"How to use this: Type your translations into the column (translated_text), then export this file as a CSV before uploading it back to SurveyMonkey."

context,original_text,translated_text (modify this column only),id,checksum
survey_title_html,Test Digital Music Observatory Music Professionals Survey 2023,,510804123,
page_heading,Welcome,,37623349,
page_subheading,"<div>\n<div>Welcome to our survey, conducted as part of the OPEN MUSIC EUROPE project. The aim of this survey is to compare concert opportunities, royalties, and funding opportunities for musicians in different countries in Europe. We will ask you questions about your musical activities, commercially released recordings, live performances and events, musical works and lyrics, and sources of income, as well as some attitudes towards life in general.</div>\n<div>Why are we conducting this survey? In some countries and through some distribution channels, artists receive fair compensation – as required by international copyright law. However, we also see cases where musicians receive less compensation than is fair and equitable.</div>\n<div></div>\n<div>Your responses to this survey will help decision makers assess where they need to initiate changes in royalties. To help us do this, we need the following information from as many music professionals as possible:</div>\n<div>1.    The income you generate through the sale of sound recordings.</div>\n<div>2.    Number of recordings you own. On the one hand, we will ask you about the number of recordings you have published in 2022. On the other hand, we would also like to document how many recordings you own in total.</div>\n<div></div>\n<div>This is the most important data we will collect. Most people do not usually have this data in their heads, but have to look it up. Therefore, in order to get the most accurate data possible, we ask that you research this information before beginning the survey.</div>\n<div></div>\n<div>This survey is completely anonymous: no personally identifiable information will be collected, recorded, or shared.</div>\n<div>We would appreciate it if you would forward this survey to your colleagues. However, we ask that you do not post the link to this survey on social media, in the press, or elsewhere, as we only want to receive responses from people who work in the music industry.</div>\n</div>",,37623349,
question_heading,In which year were you born?,,116239687,
question_option_text,2008,,878636288,
question_option_text,2007,,878636289,
question_option_text,2006,,878636290,
question_option_text,2005,,878636291,
question_option_text,2004,,878636292,
question_option_text,2003,,878636293,
question_option_text,2002,,878636294,
question_option_text,2001,,878636295,
question_option_text,2000,,878636296,
question_option_text,1999,,878636297,
question_option_text,1998,,878636298,
question_option_text,1997,,878636299,
question_option_text,1996,,878636300,
question_option_text,1995,,878636301,
question_option_text,1994,,878636302,
question_option_text,1993,,878636303,
question_option_text,1992,,878636304,
question_option_text,1991,,878636305,
question_option_text,1990,,878636306,
question_option_text,1989,,878636307,
question_option_text,1988,,878636308,
question_option_text,1987,,878636309,
question_option_text,1986,,878636310,
question_option_text,1985,,878636311,
question_option_text,1984,,878636312,
question_option_text,1983,,878636313,
question_option_text,1982,,878636314,
question_option_text,1981,,878636315,
question_option_text,1980,,878636316,
question_option_text,1979,,878636317,
